Name,API Name,Memory,vCPUs,Family,Type,Size,Ratio,Instance Storage,SSD/HDD?,GPUs,GPU model,GPU memory
T2 Medium,t2.medium,4,2,e2,medium,,,0,,0,None,0 GiB
T2 Micro,t2.micro,1,1,e2,micro,,,0,,0,None,0 GiB
T2 Nano,t2.nano,0.5,1,f1,micro,,,0,,0,None,0 GiB
T2 Small,t2.small,2,1,e2,small,,,0,,0,None,0 GiB
T2 Extra Large,t2.xlarge,16,4,e2,standard,4,,0,,0,None,0 GiB
T3 Double Extra Large,t3.2xlarge,32,8,e2,standard,8,,0,,0,None,0 GiB
T3 Large,t3.large,8,2,e2,standard,2,,0,,0,None,0 GiB
T3 Medium,t3.medium,4,2,e2,medium,,,0,,0,None,0 GiB
T3 Micro,t3.micro,1,2,e2,micro,,,0,,0,None,0 GiB
T3 Nano,t3.nano,0.5,2,f1,micro,,,0,,0,None,0 GiB
T3 Small,t3.small,2,2,e2,small,,,0,,0,None,0 GiB
T3 Extra Large,t3.xlarge,16,4,e2,standard,4,,0,,0,None,0 GiB
T3A Double Extra Large,t3a.2xlarge,32,8,e2,standard,8,,0,,0,None,0 GiB
T3A Large,t3a.large,8,2,e2,standard,2,,0,,0,None,0 GiB
T3A Medium,t3a.medium,4,2,e2,medium,,,0,,0,None,0 GiB
T3A Micro,t3a.micro,1,2,e2,micro,,,0,,0,None,0 GiB
T3A Nano,t3a.nano,0.5,2,f1,micro,,,0,,0,None,0 GiB
T3A Small,t3a.small,2,2,e2,small,,,0,,0,None,0 GiB
T3A Extra Large,t3a.xlarge,16,4,e2,standard,4,,0,,0,None,0 GiB
U-12TB1 Metal,u-12tb1.metal,12288,448,n1,custom,448,27.42857143,0,,0,None,0 GiB
U-18TB1 Metal,u-18tb1.metal,18432,448,n1,custom,448,41.14285714,0,,0,None,0 GiB
U-24TB1 Metal,u-24tb1.metal,24576,448,n1,custom,448,54.85714286,0,,0,None,0 GiB
U-6TB1 Metal,u-6tb1.metal,6144,448,n1,custom,448,13.71428571,0,,0,None,0 GiB
U-9TB1 Metal,u-9tb1.metal,9216,448,n1,custom,448,20.57142857,0,,0,None,0 GiB
X1 Extra High-Memory 16xlarge,x1.16xlarge,976,64,n1,custom,64,15.25,1920,SSD,0,None,0 GiB
X1 Extra High-Memory 32xlarge,x1.32xlarge,1952,128,n1,custom,128,15.25,3840,SSD,0,None,0 GiB
X1E 16xlarge,x1e.16xlarge,1952,64,n1,custom,64,30.5,1920,SSD,0,None,0 GiB
X1E Double Extra Large,x1e.2xlarge,244,8,n1,custom,8,30.5,240,SSD,0,None,0 GiB
X1E 32xlarge,x1e.32xlarge,3904,128,n1,custom,128,30.5,3840,SSD,0,None,0 GiB
X1E Quadruple Extra Large,x1e.4xlarge,488,16,n1,custom,16,30.5,480,SSD,0,None,0 GiB
X1E Eight Extra Large,x1e.8xlarge,976,32,n1,custom,32,30.5,960,SSD,0,None,0 GiB
X1E Extra Large,x1e.xlarge,122,4,n1,custom,4,30.5,120,SSD,0,None,0 GiB
Z1D 12xlarge,z1d.12xlarge,384,48,n1,highmem,48,8,1800,SSD,0,None,0 GiB
Z1D Double Extra Large,z1d.2xlarge,64,8,n1,highmem,8,8,300,SSD,0,None,0 GiB
Z1D 3xlarge,z1d.3xlarge,96,12,n1,highmem,12,8,450,SSD,0,None,0 GiB
Z1D 6xlarge,z1d.6xlarge,192,24,n1,highmem,24,8,900,SSD,0,None,0 GiB
Z1D Large,z1d.large,16,2,n1,highmem,2,8,75,SSD,0,None,0 GiB
Z1D Metal,z1d.metal,384,48,n1,highmem,48,8,1800,SSD,0,None,0 GiB
Z1D Extra Large,z1d.xlarge,32,4,n1,highmem,4,8,150,SSD,0,None,0 GiB
