lineItem/UsageType,lineItem/LineItemDescription,product/ProductName,lineItem/UnblendedCost,lineItem/UnblendedRate,lineItem/UsageAmount
Invalidations,"$0.000 per URL - first 1,000 URLs / month.",Amazon CloudFront,0.0,0.0,4.0
JP-DataTransfer-Out-Bytes,$0.114 per GB - first 10 TB / month data transfer out,Amazon CloudFront,0.0004949098000000009,0.11399999999999931,0.0043413319999999955
JP-DataTransfer-Out-OBytes,$0.060 per GB - All data transfer out to Origin (Japan),Amazon CloudFront,5.4e-08,0.06,8.986000000000001e-07
JP-Requests-HTTP-Proxy,"$0.0090 per 10,000 Proxy HTTP Requests (Japan)",Amazon CloudFront,3.6e-06,9e-07,4.0
JP-Requests-Tier1,"$0.0090 per 10,000 HTTP Requests",Amazon CloudFront,0.0007712999999999991,8.999999999999965e-07,857.0
JP-Requests-Tier2-HTTPS,"$0.012 per 10,000 HTTPS Requests",Amazon CloudFront,0.0020940000000000004,1.1999999999999896e-06,1745.0
ME-DataTransfer-Out-Bytes,$0.110 per GB - first 10 TB / month data transfer out,Amazon CloudFront,0.00021473589999999976,0.10999999999999978,0.0019521576000000006
ME-DataTransfer-Out-OBytes,$0.060 per GB - All data transfer out to Origin (Middle East),Amazon CloudFront,1.63e-08,0.06,2.7100000000000003e-07
ME-Requests-HTTPS-Proxy,"$0.0120 per 10,000 Proxy HTTPS Requests (Middle East)",Amazon CloudFront,1.2e-06,1.2e-06,1.0
ME-Requests-Tier1,"$0.0090 per 10,000 HTTP Requests",Amazon CloudFront,2.7e-06,9e-07,3.0
ME-Requests-Tier2-HTTPS,"$0.0120 per 10,000 HTTPS Requests",Amazon CloudFront,0.0003275999999999999,1.2000000000000014e-06,273.0
Requests-RBP,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,2.4799999999999983e-05,3.999999999999997e-07,62.0
Requests-Tier1,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",Amazon Simple Storage Service,5.375119999999927,4.999999999999841e-06,1075024.0
Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,93.0
Requests-Tier1,Tax for product code AmazonS3 usage type Requests-Tier1,Amazon Simple Storage Service,0.0,,1.0
Requests-Tier2,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,0.08663759999999904,4.000000000000084e-07,216594.0
Requests-Tier2,Tax for product code AmazonS3 usage type Requests-Tier2,Amazon Simple Storage Service,0.0,,1.0
SA-DataTransfer-Out-Bytes,$0.110 per GB - first 10 TB / month data transfer out,Amazon CloudFront,0.0008252393999999997,0.10999999999999961,0.007502196700000002
SA-DataTransfer-Out-OBytes,$0.125 per GB - All data transfer out to Origin (South America),Amazon CloudFront,5.89e-08,0.125,4.712e-07
SA-Requests-HTTPS-Proxy,"$0.0220 per 10,000 Proxy HTTPS Requests (South America)",Amazon CloudFront,2.2e-06,2.2e-06,1.0
SA-Requests-Tier1,"$0.0160 per 10,000 HTTP Requests",Amazon CloudFront,5.599999999999998e-05,1.6e-06,35.0
SA-Requests-Tier2-HTTPS,"$0.0220 per 10,000 HTTPS Requests",Amazon CloudFront,0.0015488000000000025,2.2000000000000154e-06,704.0
SAE1-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
SAE1-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.452e-07
SAE1-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882000000000003e-06
SAE1-FreeEventsRecorded,0.0 per free event recorded in South America(Sao Paulo) region,AWS CloudTrail,0.0,0.0,2025.0
SAE1-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,1.2399999999999991e-05,3.999999999999997e-07,31.0
SAE1-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,62.0
TimedStorage-ByteHrs,$0.00 per GB-Month of storage for first 1 GB-Month,Amazon SimpleDB,0.0,0.0,2.7540999999999996e-06
TimedStorage-ByteHrs,$0.023 per GB - first 50 TB / month of storage used,Amazon Simple Storage Service,280.8210527034001,0.02300000000000001,12209.610986960797
TimedStorage-ByteHrs,Tax for product code AmazonS3 usage type TimedStorage-ByteHrs,Amazon Simple Storage Service,0.0,,1.0
TimedStorage-RRS-ByteHrs,$0.0240 per GB - first 1 TB / month of storage used - Reduced Redundancy Storage,Amazon Simple Storage Service,0.00010389649999999992,0.02400000000000001,0.0043289671
US-DataTransfer-Out-Bytes,$0.085 per GB - first 10 TB / month data transfer out,Amazon CloudFront,2.8599079638999965,0.08499999999999824,33.64597598189999
US-DataTransfer-Out-Bytes,Tax for product code AmazonCloudFront usage type US-DataTransfer-Out-Bytes,Amazon CloudFront,0.0,,1.0
US-DataTransfer-Out-OBytes,$0.020 per GB - All data transfer out to Origin (US),Amazon CloudFront,1.5053999999999998e-06,0.02000000000000001,7.525800000000002e-05
US-Requests-HTTP-Proxy,"$0.0075 per 10,000 Proxy HTTP Requests (US)",Amazon CloudFront,2.25e-06,7.5e-07,3.0
US-Requests-HTTPS-Proxy,"$0.0100 per 10,000 Proxy HTTPS Requests (US)",Amazon CloudFront,0.00010499999999999986,9.999999999999983e-07,105.0
US-Requests-Tier1,"$0.0075 per 10,000 HTTP Requests",Amazon CloudFront,0.0014760000000000057,7.499999999999949e-07,1968.0
US-Requests-Tier2-HTTPS,"$0.0100 per 10,000 HTTPS Requests",Amazon CloudFront,0.31299899999999914,1.0000000000000082e-06,312999.0
US-Requests-Tier2-HTTPS,Tax for product code AmazonCloudFront usage type US-Requests-Tier2-HTTPS,Amazon CloudFront,0.0,,1.0
USE1-APN1-AWS-Out-Bytes,$0.02 per GB - US East (Northern Virginia) data transfer to Asia Pacific (Tokyo),Amazon Simple Storage Service,4.5e-09,0.02,2.2629999999999998e-07
USE1-CloudFront-Out-Bytes,$0.00 per GB data transfer out of US East (Northern Virginia) to CloudFront,Amazon Simple Storage Service,0.0,0.0,33.98804921999999
USE1-EUC1-AWS-Out-Bytes,$0.02 per GB - US East (Northern Virginia) data transfer to EU (Germany),Amazon Simple Storage Service,3.62e-08,0.02,1.8104999999999999e-06
USE1-FreeEventsRecorded,0.0 per free event recorded in US East (N.Virginia) region,AWS CloudTrail,0.0,0.0,97221.0
USE1-TimedStorage-ByteHrs,First 5GB-mo per month of logs storage is free.,AmazonCloudWatch,0.0,0.0,0.009153027
USE1-USW1-AWS-Out-Bytes,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Northern California),Amazon Simple Storage Service,1.803e-07,0.019999999999999997,9.0114e-06
USE1-USW2-AWS-In-Bytes,$0.00 per GB - US East (Northern Virginia) data transfer from US West (Oregon),Amazon Simple Storage Service,0.0,0.0,96.58674729620006
USE1-USW2-AWS-Out-Bytes,$0.02 per GB - US East (Northern Virginia) data transfer to US West (Oregon),Amazon Simple Storage Service,1.0840777246999993,0.020000000000000014,54.20388613970005
USE1-USW2-AWS-Out-Bytes,Tax for product code AWSDataTransfer usage type USE1-USW2-AWS-Out-Bytes,AWS Data Transfer,0.0,,1.0
USE2-CW:Requests,"$0.00 per request - first 1,000,000 requests",AmazonCloudWatch,0.0,0.0,30.0
USE2-DataTransfer-In-Bytes,$0.000 per GB - data transfer in per month,Amazon DynamoDB,0.0,0.0,1.452e-07
USE2-DataTransfer-Out-Bytes,$0.000 per GB - first 1 GB of data transferred out per month,Amazon DynamoDB,0.0,0.0,1.7882e-06
USE2-FreeEventsRecorded,0.0 per free event recorded in US East (Ohio) region,AWS CloudTrail,0.0,0.0,3215.0
USE2-Requests-Tier1,"$0.005 per 1,000 PUT, COPY, POST, or LIST requests",Amazon Simple Storage Service,9e-05,5e-06,18.0
USE2-Requests-Tier1,"$0.40 per 1,000,000 Amazon SQS Requests per month thereafter",Amazon Simple Queue Service,2.4799999999999983e-05,3.999999999999997e-07,62.0
USE2-Requests-Tier1,"First 1,000,000 Amazon SNS API Requests per month are free",Amazon Simple Notification Service,0.0,0.0,93.0
USE2-Requests-Tier2,"$0.004 per 10,000 GET and all other requests",Amazon Simple Storage Service,0.00026200000000000084,3.9999999999999903e-07,655.0
USE2-TimedStorage-ByteHrs,$0.023 per GB - first 50 TB / month of storage used,Amazon Simple Storage Service,3.3083199999999995e-05,0.02300000000000001,0.001438365900000001
USE2-USE1-AWS-Out-Bytes,$0.01 per GB - US East (Ohio) data transfer to US East (Northern Virginia),Amazon Simple Storage Service,1.093100000000001e-06,0.009999999999999967,0.00010899700000000008
USW1-APN1-AWS-In-Bytes,$0.00 per GB - US West (Northern California) data transfer from Asia Pacific (Tokyo),Amazon Elastic Compute Cloud,0.0,0.0,2.6697e-06
USW1-APN1-AWS-Out-Bytes,$0.02 per GB - US West (Northern California) data transfer to Asia Pacific (Tokyo),Amazon Elastic Compute Cloud,2.3709999999999997e-07,0.020000000000000007,1.1854900000000002e-05
USW1-APN2-AWS-In-Bytes,$0.00 per GB - US West (Northern California) data transfer from Asia Pacific (Seoul),Amazon Elastic Compute Cloud,0.0,0.0,2.237e-07
USW1-APN2-AWS-Out-Bytes,$0.02 per GB - US West (Northern California) data transfer to Asia Pacific (Seoul),Amazon Elastic Compute Cloud,2.9400000000000002e-08,0.02,1.4753e-06
USW1-APS1-AWS-In-Bytes,$0.00 per GB - US West (Northern California) data transfer from Asia Pacific (Singapore),Amazon Elastic Compute Cloud,0.0,0.0,4.609099999999998e-06
USW1-APS1-AWS-Out-Bytes,$0.02 per GB - US West (Northern California) data transfer to Asia Pacific (Singapore),Amazon Elastic Compute Cloud,4.198e-07,0.020000000000000007,2.099970000000001e-05
USW1-APS2-AWS-In-Bytes,$0.00 per GB - US West (Northern California) data transfer from Asia Pacific (Sydney),Amazon Elastic Compute Cloud,0.0,0.0,1.1926000000000002e-06
USW1-APS2-AWS-Out-Bytes,$0.02 per GB - US West (Northern California) data transfer to Asia Pacific (Sydney),Amazon Elastic Compute Cloud,1.313e-07,0.02,6.582899999999998e-06
USW1-APS3-AWS-In-Bytes,$0.00 per GB - US West (Northern California) data transfer from Asia Pacific (Mumbai),Amazon Elastic Compute Cloud,0.0,0.0,1.7587000000000004e-06
USW1-APS3-AWS-Out-Bytes,$0.02 per GB - US West (Northern California) data transfer to Asia Pacific (Mumbai),Amazon Elastic Compute Cloud,1.5499999999999997e-07,0.020000000000000004,7.767399999999998e-06
USW1-BoxUsage:m5.large,$0.112 per On Demand Linux m5.large Instance Hour,Amazon Elastic Compute Cloud,83.3279999999994,0.1119999999999992,744.0
USW1-BoxUsage:m5.large,Tax for product code AmazonEC2 usage type USW1-BoxUsage:m5.large operation RunInstances,Amazon Elastic Compute Cloud,0.0,,1.0
USW1-CAN1-AWS-In-Bytes,$0.00 per GB - US West (Northern California) data transfer from Canada (Central),Amazon Elastic Compute Cloud,0.0,0.0,1.2992e-06
USW1-CAN1-AWS-Out-Bytes,$0.02 per GB - US West (Northern California) data transfer to Canada (Central),Amazon Elastic Compute Cloud,1.25e-08,0.02,6.268000000000001e-07
