PayerAccountName,ProductCode,UsageType,RateId,ItemDescription,UsageQuantity,BlendedRate,CostBeforeTax,TotalCost,Tax,SrNo,Tag
Alphasense Inc,AmazonCloudFront,EU-Requests-Tier2-HTTPS,1109507215,"$0.0120 per 10,000 HTTPS Requests",14870282,,17.84,17.84,0,592,Cloud CDN
Alphasense Inc,AmazonEC2,SpotUsage:m5n.4xlarge,1719510130,m5n.4xlarge Linux/UNIX Spot Instance-hour in US East (N. Virginia) in VPC Zone #12,1587.519446,,551.8,551.8,0,593,Compute - SU
Alphasense Inc,AmazonEC2,SpotUsage:c4.8xlarge,1719498136,c4.8xlarge Linux/UNIX Spot Instance-hour in US East (Virginia) in VPC Zone #5,825.438614,,424.32,424.32,0,594,Compute - SU
Alphasense Inc,AWSDataTransfer,USE1-UGW1-AWS-Out-Bytes,1698932268,$0.02 per GB - US East (Northern Virginia) data transfer to AWS GovCloud (US),0.00131392,,0,0,0,595,VM to VM Egress
Alphasense Inc,AmazonEC2,SpotUsage:r4.large,1719502407,r4.large Linux/UNIX Spot Instance-hour in US East (Virginia) in VPC Zone #7,3183.720276,,119.34,119.34,0,596,Compute - SU
Alphasense Inc,AWSCloudTrail,APS2-FreeEventsRecorded,1655223576,0.0 per free event recorded in Asia Pacific (Sydney) region,25171,,0,0,0,597,Others
Alphasense Inc,AWSDataTransfer,APS3-EUC1-AWS-Out-Bytes,1698931710,$0.086 per GB - Asia Pacific (Mumbai) data transfer to EU (Germany),0.0104724,,0,0,0,598,VM to VM Egress
Alphasense Inc,AmazonRDS,RDS:ChargedBackupUsage,1730457514,$0.095 per additional GB-month of backup storage exceeding free allocation,24712.12879,,2347.65,2347.65,0,599,Cloud SQL
Alphasense Inc,AmazonSimpleDB,TimedStorage-ByteHrs,2431224,$0.00 per GB-Month of storage for first 1 GB-Month,0.0000072,,0,0,0,600,Others
Alphasense Inc,AmazonCloudWatch,USE1-TimedStorage-ByteHrs,1682787890,First 5GB-mo per month of logs storage is free.,4.47167653,,0,0,0,601,Cloud Logging
Alphasense Inc,AmazonEC2,LoadBalancerUsage,1720455704,$0.0225 per Network LoadBalancer-hour (or partial hour),1438,,32.36,32.36,0,602,Load Balancer
Alphasense Inc,AWSDataTransfer,USE1-EUW2-AWS-In-Bytes,1698932113,$0.00 per GB - US East (Northern Virginia) data transfer from EU (London),0.00000453,,0,0,0,603,VM to VM Ingress
Alphasense Inc,ElasticMapReduce,BoxUsage:r4.xlarge,1682935361,$0.067 per hour for EMR r4.xlarge,10.05959,,0.67,0.67,0,604,Others
Alphasense Inc,AWSDataTransfer,USW2-DataTransfer-Out-Bytes,1698921919,$0.000 per GB - first 1 GB of data transferred out per month,6.90E-07,,0,0,0,605,Internet Egress
Alphasense Inc,AmazonCloudFront,AU-Requests-Tier1,1109507266,"$0.0090 per 10,000 HTTP Requests",49,,0,0,0,606,Cloud CDN
Alphasense Inc,AWSDataTransfer,USE1-SAE1-AWS-Out-Bytes,1698932277,$0.02 per GB - US East (Northern Virginia) data transfer to South America (Sao Paulo),0.03417438,,0,0,0,607,VM to VM Egress
Alphasense Inc,AmazonEC2,EBSOptimized:r3.2xlarge,1720462674,$0.05 for 1000 Mbps per r3.2xlarge instance-hour (or partial hour),1373.295278,,68.66,68.66,0,608,Others
Alphasense Inc,AWSDataTransfer,EUW2-USW2-AWS-Out-Bytes,1698930845,$0.02 per GB - EU (London) data transfer to US West (Oregon),0.00005696,,0,0,0,609,VM to VM Egress
Alphasense Inc,AWSDataTransfer,EUW2-CAN1-AWS-In-Bytes,1698930826,$0.00 per GB - EU (London) data transfer from Canada (Central),9.50E-07,,0,0,0,610,VM to VM Ingress
Alphasense Inc,AWSSupportBusiness,Dollar,247763996,5% of monthly AWS usage from $80K-$250K,170000,,8500,8500,0,611,GCP Support
Alphasense Inc,AmazonS3,APS3-TimedStorage-ByteHrs,1686269179,$0.025 per GB - first 50 TB / month of storage used,0.1691751,,0,0,0,612,GC Storage
Alphasense Inc,AWSDataTransfer,EUC1-EU-AWS-Out-Bytes,1698922470,$0.02 per GB - EU (Germany) data transfer to EU (Ireland),0.0000234,,0,0,0,613,VM to VM Egress
Alphasense Inc,AWSDataTransfer,EUW2-APN3-AWS-Out-Bytes,1698930938,$0.02 per GB - EU (London) data transfer to Asia Pacific (Osaka-Local),7.40E-07,,0,0,0,614,VM to VM Egress
Alphasense Inc,AmazonEC2,SpotUsage:c4.8xlarge,1719502156,c4.8xlarge Linux/UNIX Spot Instance-hour in US East (Virginia) in VPC Zone #6,2657.401945,,1447.63,1447.63,0,615,Compute - SU
Alphasense Inc,AWSConfig,USE1-ConfigRuleEvaluations,1655132494,"$0.0008 for the next 400,000 evaluations in  US East (N.Virginia) region",400000,,320,320,0,616,Cloud Asset Inventory
Alphasense Inc,AmazonEC2,SpotUsage:r3.xlarge,1719495450,r3.xlarge Linux/UNIX Spot Instance-hour in US East (Virginia) in VPC Zone #12,126.315555,,9.22,9.22,0,617,Compute - SU
Alphasense Inc,AmazonCloudFront,US-DataTransfer-Out-OBytes,1109507324,$0.020 per GB - All data transfer out to Origin (US),297.8700033,,5.96,5.96,0,618,Cloud CDN
Alphasense Inc,AWSSupportBusiness,Dollar,247763994,7% of monthly AWS usage from $10K-$80K,70000,,4900,4900,0,619,GCP Support
Alphasense Inc,AWSDataTransfer,DataTransfer-In-Bytes,1698932124,$0.000 per GB - data transfer in per month,0.22890129,,0,0,0,620,Internet Ingress
