,lineItem/UsageType,lineItem/LineItemDescription,product/ProductName,lineItem/UnblendedCost,lineItem/UnblendedRate,lineItem/UsageAmount
44,APS2-AWS-In-Bytes,$0.00 per GB - Data transfer to Asia Pacific (Sydney),Amazon Relational Database Service,0.0,0.0,0.28612788920000215
45,APS2-AWS-Out-Bytes,$0.0980 per GB - Data transfer from Asia Pacific (Sydney),Amazon Elastic Compute Cloud,2.1674209938000213,0.09800000837322638,22.116538863400354
46,APS2-AWS-Out-Bytes,$0.0980 per GB - Data transfer from Asia Pacific (Sydney),Amazon Relational Database Service,0.03690179070000019,0.09799993235730255,0.3765491446000005
47,APS2-AWSSecretsManager-Secrets,$0.40 per Secret,AWS Secrets Manager,7.600000027200043,0.400000001566318,18.999999993600003
48,APS2-AWSSecretsManagerAPIRequest,$0.05 per 10000 API Requests,AWS Secrets Manager,0.053679999999999284,4.9999999999999335e-06,10736.0
49,APS2-BoxUsage,$0.00 per Compute-Hour consumed first 25 hours per month,Amazon SimpleDB,0.0,0.0,1.372e-05
50,APS2-BoxUsage:m4.2xlarge,$0.12 per hour for EMR m4.2xlarge,Amazon Elastic MapReduce,390.7983890400048,0.1200000000000015,3256.6532419999994
51,APS2-BoxUsage:m4.2xlarge,$0.5 per On Demand Linux m4.2xlarge Instance Hour,Amazon Elastic Compute Cloud,1710.8177081249996,0.49999999999999994,3421.6354162499997
52,APS2-BoxUsage:m4.2xlarge,$0.50 per On Demand Linux m4.2xlarge Instance Hour,Amazon Elastic Compute Cloud,4.836458375,0.5,9.67291675
53,APS2-BoxUsage:m4.4xlarge,$1.0 per On Demand Linux m4.4xlarge Instance Hour,Amazon Elastic Compute Cloud,632.9461462500001,1.0,632.9461462500001
54,APS2-BoxUsage:m4.4xlarge,$1.00 per On Demand Linux m4.4xlarge Instance Hour,Amazon Elastic Compute Cloud,111.05385375,1.0,111.05385375
55,APS2-BoxUsage:m4.large,$0.03 per hour for EMR m4.large,Amazon Elastic MapReduce,0.03195426,0.03,1.065142
